mat_avaliador,id_reclamação,insatisfação
112110089,9,1
112110089,19,3
112110089,29,4
114111372,2,4.5
114111372,12,2.5
117110369,89,5
112110089,39,3
112110089,49,1
112110089,59,2
112110089,69,2
112110089,79,1
112110089,89,4
112110089,99,2
112210045,5,3
112210045,15,2
112210045,25,3
112210045,35,3
112210045,45,1
112210045,55,2
116210757,7,2
116210757,17,4
116210757,27,3
116210757,37,4
116210757,47,1
116210757,57,3
116210757,67,5
116210757,77,3
116210757,87,1
116210757,97,3
116210757,107,5
116210757,117,2
116210757,127,3
116210757,137,2
116210757,147,3
116210757,157,5
116210757,167,4
116210757,177,5
116210757,187,4
116210757,197,4
116210757,207,3
116210757,217,1
116210757,227,2
114210196,16,5
114210196,26,4
114210196,36,3
112210078,8,2
112210078,18,4
112210078,28,2
112210078,38,4
112210078,48,1
112210078,58,3
112210078,68,4
112210078,78,2
112210078,88,1
112210078,98,3
112210078,108,5
112210078,118,3
112210078,128,2
112210078,138,2
112210078,148,4
112210078,158,4
112210078,168,2
112210078,178,4
112210078,188,3
112210078,198,2
112210078,208,2
112210078,218,1
112210078,228,2
112210078,238,4
112210078,248,3
112210078,258,2
112210078,268,3
112210078,278,1
112210078,288,3
112210078,298,3
112210078,308,5
112210078,318,4
117211056,6,2
117211056,16,3
117211056,26,2
117211056,46,1
117211056,76,2
114110483,3,3
114110483,13,4.5
114110483,23,4
114110483,33,2
114110483,43,1
114110483,53,2
114110483,63,3
114110483,73,3
114110483,83,4
114110483,93,5
114110483,103,2
114110483,113,3
114110483,123,1
114110483,133,1
114110483,143,2
114110483,153,4
114110483,163,1
114110483,173,5
114110483,183,5
114110483,193,5
114110483,203,3
114110483,213,1
114110483,223,3
114110483,233,2
114110483,243,3
114110483,253,3
114110483,263,3
114110483,273,3
114110483,283,4
114110483,293,2
114110483,303,5
114110483,313,4
114110443,3,3
114110443,13,4
114110443,23,4
114110443,33,3
114110443,43,0.5
114110443,53,0.5
114110443,63,1
114110443,73,4
114110443,83,2
114110443,93,4.5
114110443,103,0.5
114110443,113,0.5
114110443,123,0.5
114110443,133,0.5
114110443,143,0.5
114110443,153,3.5
114110443,163,1
114110443,173,4.5
114110443,183,4
114110443,193,4.5
114110443,203,0.5
114110443,213,0.5
114110443,223,1
114110443,233,4
114110443,243,3
114110443,253,2
114110443,263,4
114110443,273,3
114110443,283,2
114110443,293,3
114110443,303,5
114110443,313,3
114110449,9,1
114110449,19,4
114110449,29,4
114110449,39,5
114110449,49,2
114110449,59,3
114110449,69,2
114110449,79,1
114110449,89,4
114110449,99,2
114110449,109,1
114110449,119,3
114110449,129,3
114110449,139,5
114110449,149,3
114110449,159,5
114110449,169,5
114110449,179,2
114110449,189,2
114110449,199,5
114110449,209,2
115110864,4,3
115110864,14,4
115110864,24,2
115110864,34,5
115110864,44,2
115110864,54,3
115110864,64,3
115110864,74,1
115110864,84,3
115110864,94,2
115110864,104,3
115110864,114,1
115110864,124,2
115110864,134,3
115110864,144,2
115110864,154,1
115110864,164,3
115110864,174,2
115110864,184,2
115110864,194,3
115110864,204,3
115110864,214,2
115110864,224,1
115110864,234,2
115110864,244,3
117110369,79,1
113110054,4,2
113110054,14,3
113110054,24,4
113110054,34,5
114110469,49,1.5
114110469,39,1.5
114110469,9,2
114110469,19,3
114110469,29,4
114110449,2,4
114111372,32,5
114111372,42,4
114111372,52,3.5
114110449,13,4
116110089,74,3
116110089,40,5
117110369,59,2
114110449,23,3
113110054,44,2
113110054,54,4
117110369,49,1
116110089,77,5
116110089,23,1
116110089,106,3
116110089,137,2
116110089,145,4
116110089,169,5
116110089,180,4
114110469,59,2.5
114110469,69,1
114110469,79,2
114110469,89,4.2
114110469,99,2
114110469,109,1
113110054,64,3
113110054,74,2
117110369,29,3
115111424,4,2
115111424,14,4
115111424,24,3
115111424,34,5
115111424,44,4
115111424,54,3
115111424,64,3
115111424,74,2
114111372,62,5
114111372,72,1
114110449,33,3
114111372,82,4
117211056,9,1
117211056,99,2
116110089,236,2
116110089,252,5
116110089,197,4
116110089,212,2
116110089,232,2
114110469,119,2
114110469,129,3.5
114110469,139,3.5
114110469,149,2
114110469,159,1
114110469,169,5
114110469,179,3.5
117110369,179,2
114111372,92,3
117110369,189,3
114210185,309,3
117110369,209,1
114111372,102,2
114110449,43,1
116110089,321,5
117110369,219,1
114111372,112,2.5
117110369,229,4
114210185,315,4
114210185,291,2
114210185,199,5
114210185,277,2
114111372,122,2
114111372,132,4
114210185,180,1
114210185,163,1
115111579,19,4
113210893,5,3
113210893,13,1.5
113210893,12,4
113210893,15,4
113210893,20,3
113210893,21,2.5
113210893,22,2.3
113210893,25,1.2
113210893,27,2.7
113210893,29,5
113210893,30,2