orgao,link,titulo,reclamacao,nome_orgao_site,id,grupo_avaliando,insatisfacao,avaliadores,range.avaliacoes
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/357540/anac-agencia-nacional-de-aviacao-civil/nao-recebo-resposta-da-anac-sobre-habilitacao-tecnica-de-mec/,Não recebo resposta da ANAC sobre Habilitação Técnica de Mecânico de Manutenção nº 118909 -,"Bom Dia!
Em 2015, exatamente no dia 10/02/17, fizemos a solicitação através de ordem de serviço para revalidação da carteira de mecânico do Sr. Jeff Carlos Celestino, e enviado a Anac, gerado a Ordem de Serviço, porém não concluído, devido ao sistema, depois de gerado a ordem de serviço é necessário entrar em outra tela e adicionar alguns documentos. No atual mês descobrimos o processo como funciona, acreditando estar tudo correto, porém numa auditoria visto pelos auditores que não estava válida, então fomos fazer a pesquisa quando nos deparamos com as demais etapas do processo.  Foi dado continuação no processo em 01/12/17, e nada resolvido, até que nos informam em 14/12/17 que havia um documento que estava desconforme,  com um detalhe, segundo os atendentes informaram que estavam enviando e-mail para um e-mail antigo, muito embora tenham recebido as solicitações de um e-mail válido.  Detalhe outro que foi peticionado também a carteira de um outro funcionário em dia e no outro estava válido no sistema ANAC.  Bem, hoje é dia 19/12/17, e até o momento, não conseguimos mais falar no setor, não conseguimos uma resposta por e-mail, sendo reiterado todos os dias pela manhã e a   tarde, já recorremos a reclamação da ANAC no 163, em Brasilia, e nos informam que tem 21 dias para responder ao questionamento, quando o dever de resposta e de entrega do funcionário publico difere deste prazo. Então recorremos a este Instituto para que nos auxilie no direito de receber, do funcionário que depende da carteira de Mecânico de Manutenção (GMP/CEL),  para continuar suas atividades laborais.  Segue o numero da solicitação 245369/15 de 10/02/2015, protocolo SEI 00065569147201711. Já fizemos inúmeras ligações e não atendem, não respondem e-mail´s, e assim segue, o cidadão que necessita do documento para trabalhar, não consegue alcançar seus diretos em função da negligência e  imperícia  do funcionário publico que não quer trabalhar por ser "" funcionário publico"". Colocaremos alguns números de telefones que estamos tentando ligar e não atendem:  reclamação feita na ANAC no numero 163 em Brasilia  sob nº de protocolo: 20170100585 de 19/12/17, fones que não atendem no Rio de Janeiro, onde se estabelece o Setor de Habilitação:  (21) 3501-5646, 3501-5541, 3501-5293, 3501-5302, 3501-5606, 3501-5595. Solicitamos que este Instituto faça valer os direitos inerentes do cidadão civil. 
Atenciosamente, aguardamos um breve retorno. 
 Regina",http://http://www.anac.gov.br/,1,2,3,7,3
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/376588/anac-agencia-nacional-de-aviacao-civil/importunio-aos-passageiros-coacao-e-venda-irregular-de-assin/,"Importunio aos passageiros, coação e venda irregular de assinatura de revistas","Dia 23 de Abril ( segunda feira) estava no aeroporto de Congonhas me preparando para embarcar, quando fui subir na escada rolante para a área de embarque, uma mulher me abordou perguntando se eu residia no Brasil, como ela estava vestida com um terninho preto e parecia funcionária do aeroporto, eu respondi que sim e ela disse que brasileiros teriam que pegar uma senha e me dirigiu para uma área que fica embaixo ao lado da escada rolante, quando percebi, estava em um balcão da Editora Três, e já me rodeavam falando que eu tinha ganho uma senha e etc e tal...quando me toquei da situação , virei as costas e voltei para a escada rolante, com eles gesticulando e falando besteiras. Enfim , embarquei e pensando que estaria mais segura e protegida dentro do salão de embarque me enganei! Fui surpreendida com outro balcão , agora da Editora Globo e vieram me dar um folheto com uma senha que teria acesso as revistas, porém para liberarem a senha precisavam do meu cartão de credito. fiquei muito irritada com a situação e falei que não iria cair naquele golpe, pois esta forma de venda de assinaturas é irregular. Tirei uma foto do estande e disse que iria abrir uma reclamação. A partir dai começou uma séria de ameaças , fui importunada durante muito tempo, me seguiam, me filmalvam e ameaçava, que eu não iria conseguir embarcar. Procurei por seguranças, mas não encontrei. Fui a policia Federal pedir ajuda, mas o que percebi é que as tais moças (duas mulhers me seguiam) conheciam a moça da Policia Federal e também a outra moça responsável pela área comercial do aeroporto. Duarnte todo tempo elas me ameaçaram e falavam que eu poderia reclamar o quanto quisesse, pois não iria acontecer nada, tinham certeza da impunidade!
Conversando com outros funcionários do aeroporto (funcionários de loja e as moças responsáveis pelo embraque) elas falaram que já tiveram muitos problemas com estas editoras e que também são ameaçadas para não contarem nada...um absurdo total!!!
Estas editoras oferecem malas também, mas depois de posse de daos de seu cartão, cobranças de assinaturas indevidas começam a ser creditadas e para cancelar  (o que é bem difícil) você tem que pagar a tal mala ""que era brinde"", cobram em torno de quatrocentos reais uma mala que é vendida no centro de São Paulo por oitenta Reais.
“Essas práticas enganosas estão previstas no Código de Proteção e Defesa do Consumidor nos artigos 30 e 31. Isso sem falar que nessa relação de consumo existe o vício no consentimento do consumidor na aquisição de assinaturas de publicações, renovações automáticas de assinatura e cobranças indevidas em cartões de crédito ou conta bancária”,
Vou reclamar no PROCON, no Ministério Público e em todas as redes sociais possíveis, pois nesta época que estamos lutando contra a corrupção, acho um absurdo o Aeroporto colocar estes estandes de vendas enganosas, tirando a paz e a segurança de seus clientes.
Olhando na internet , vi que esta prática esta acontecendo em todos aeroportos do Brasil, a quantidade de reclamações são um número bastante consistente, isto que muitas pessoas não devem reclamar e ficam remoendo o prejuízo, principalmente pessoas idosas que muitas vezes não tem paciência e ou recursos para reclamar, pois muitas não usam o computador e por telefone a burocracia e o tempo que leva é desencorajador.
Peço aos responsáveis que pensem nos clientes e deixem de pensar só em dinheiro (tenho certeza que poderiam colocar estandes de outros produtos mais agradáveis) Pensem melhor no conforto e paz de seus clientes, pois o Aeropoprto se prejudica com estas práticas e perdem a credibilidade, não só os aeroportos mas prejudica nosso Brasil!
Espero retorno
Cibele Barroco",http://http://www.anac.gov.br/,2,3,4,5,1
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/293230/anac-agencia-nacional-de-aviacao-civil/reembolso-de-passagem-aerea/,Reembolso de passagem aérea,"Prezados, boa tarde.
No começo da tarde de hoje entrei em contato com a empresa DECOLAR para efetuar o cancelamento de passagem aérea comprada por intermédio desta empresa com a GOL, cujo o destino da viagem seria CURITIBA-SAO PAULO. No entanto, a empresa me disse que não faria reembolsos e se eu desejasse avançar com o cancelamento deveria arcar com uma taxa de R$ 250 além de não ter certeza se os valores da passagem seriam reintegrados a minha pessoa.
Assim, espero registrar tal reclamação no anseio de que essa Agência possa tomar alguma atitude contra os arbítrios da companhia aérea e da intermediária.
Atenciosamente,
Sean Abib",http://http://www.anac.gov.br/,3,4,2,5,2
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/302504/anac-agencia-nacional-de-aviacao-civil/anac-se-diz-ineficaz-diante-das-empresas-aereas/,ANAC - Se diz ineficaz diante das empresas aéreas,"Minha sogra viajou de Brasília para São Paulo (CGH) na AVIANCA dia 17/09/16, vôo 6061. A escada colocada na aeronave para descida estava bambeada ou não encaixada corretamente. Ela teve tontura e CAIU ao subir no ônibus para plataforma de desembarque machucou a perna (hematomas) e cortou o pé. Nenhum funcionário da AVIANCA ou do aeroporto a socorreu. Por ser diabética, os ferimentos complicaram a saúde dela. Reclamei à AVIANCA, mas eles não retornam aos CLIENTES e NÃO POSSUEM OUVIDORIA.
Reclamei à ANAC que disse :
""Em referência à sua solicitação, informamos que de acordo com o art. 2º da Lei 11.182, de 27 de setembro de 2005, compete à ANAC regular e fiscalizar as atividades de aviação civil e de infraestrutura aeronáutica e aeroportuária.
Não há na legislação de aviação civil, norma atinente a prestação de serviços por parte da empresa aérea, por prestação de serviço entenda-se cordialidade de tripulação, maneiras de atendimento, entre outros fatores que influenciam na percepção do passageiro, entende-se que o bom tratamento dos passageiros bem como sua captação e fidelização devem fazer parte da política de negócios da empresa para com seus passageiros.""
Ou seja, se um passageiro se machucar, cair da escadaria frouxa,  quebrar o braço, perna, quebrar o pescoço, e morrer (isto cabe a anac proibir e fiscalizar) = NÃO é responsabilidade da anac e nem das empresas aéreas. Em outras palavras ""todos os passageiros que fazem uso do transporte aéreo estão entregues a própria sorte""
Vejo que os responsáveis da anac não entendem ou desconhecem a lei que citaram no primeiro parágrafo. Vou lembra-los:
Art. 8º- Cabe à ANAC adotar as medidas necessárias para o atendimento do interesse público e para o desenvolvimento e fomento da aviação civil, da infra-estrutura aeronáutica e aeroportuária do País, atuando com independência, legalidade, impessoalidade e publicidade, competindo-lhe:
X – regular e fiscalizar os serviços aéreos, os produtos e processos aeronáuticos, a formação e o treinamento de pessoal especializado, os serviços auxiliares, a segurança da aviação civil, a facilitação do transporte aéreo, a habilitação de tripulantes, as emissões de poluentes e o ruído aeronáutico, os sistemas de reservas, a movimentação de passageiros e carga e as demais atividades de aviação civil;
É mais uma agência criada com dinheiro público e que não atende aos interesses e necessidades da população. 
Att.
Ivan",http://http://www.anac.gov.br/,4,5,5,3,0
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/322730/anac-agencia-nacional-de-aviacao-civil/atraso-de-mais-de-tres-horas-em-voo-da-gol/,atraso de mais de três horas em voo da Gol.,"O Voo da Gol G3 1571 de Salvador para congonhas, do dia 18/3/17 que deveria sair as 13,10hs só levantou voo por volta das 16,30hs, 
É obvio que, na aviação, se sabe que contratempos podem ocorrer, porem como passageiro idosos que sou, viajando junto com minha esposa, idosa e portadora de protese femural, creio que nós, como qualquer outro passageiro, mereceriamos uma consideração melhor dessa empresa. Senão vejamos, ficamos por mais de três horas aguardando o voo sem que alguem da Gol desse qualquer explicação, ou oferecesse um mísero  copo dagua. E, o que é pior, depois que embarcamos ainda tivemos que aguardar intermináveis minutos para liberação do voo. Quando este saiu, tempos depois, foi nos oferecido: um pacotinho com quatro diminutas bolachinhas horrorosas (quatro mesmo, contadas uma a uma) e um copinho de água. Eu não sei, e por isso estou questionando junto a esse serviço se, em atrasos dessa magnitude, a companhia aérea não deveria, pelo menos, providenciar algum tipo de alimentação aos passageiros que ficam ""jogados"" , por horas, nas pessimas acomodações de aeroportos, sujeitos, ademais, a terem que se alimentar por conta própria, e serem submetidos preços escorchantes.
sergio alvares",http://http://www.anac.gov.br/,5,6,4,7,2
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/313000/anac-agencia-nacional-de-aviacao-civil/para-que-existe-a-anac/,PARA QUE EXISTE A ANAC?,FIZ UMA RECLAMAÇÃO HÁ MAIS DE 8 MESES.NÃO RECEBI RESPOSTA ALGUMA.PARA QUE SERVE A ANAC?,http://http://www.anac.gov.br/,6,1,4,5,2
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/296994/anac-agencia-nacional-de-aviacao-civil/reembolso-de-valor/,Reembolso de valor,"No dia 9/07 eu,  minha esposa e meu filho ocupávamos os assentos da fileira 14 DEF  aeronave da TAM  que deveria sair das 01:15 do aeroporto de santiago ( Chile )  com destino a são paulo e ocorreu  que havia uma movimentação de despachantes e comissários dentro da aeronave  pois uma das poltronas apresentou problemas e como o voo estava lotado não havia como remanejar o passageiro que estava neste assento. 
Foi oferecido ao passageiro o valor de $ 408,00 dólares americanos para que este fosse remanejado para outro voo porem houve a recusa do mesmo e desta forma a aeronave continuava em terra. O despachante e os comissários buscaram algum voluntário que preferencialmente não havia despachado bagagem para não atrasar ainda o voo e desta forma resolvi ajudar na questão pois minhas bagagem poderiam ser retiradas pela minha esposa e filho. 
Sai da aeronave acompanhado pelo despachante e outro funcionário do aeroporto  e fui colocado dentro de um carro estacionado na pista e conduzido a outra aeronave da TAM já estacionada e com embarque iniciado.  Entrei no túnel de embarque pelo piso da pista e conduzido até o funcionário da TAM que faz a checagem dos tickets de embarque e este via rádio passou a outro funcionário todas minhas informações pessoais ( nome, endereço telefone e conta bancária) e me informou que a empresa faria o depósito do valor de $ 408,00 dolares americanos em 48 horas. 
Como nada ocorreu neste prazo liguei para o serviço de atendimento da TAM e fui informado que deveria abrir uma reclamação e aguarda o prazo de 5 dias úteis para ter um posicionamento da empresa e fui o que fiz numero do processo 2962551 e ao términio deste prazo liguei para obter informação a respeito e não havia nada a ser informado , apenas abrir mais uma reclamação da reclamação não atendida. 
Resumo : Ajudei a TAM a resolver um problema que poderia ocasionar mais atraso no voo , não recebi o que me foi prometido, e estou tendo que reclamar para ser espeitado como cliente e consumidor .",http://http://www.anac.gov.br/,7,2,2,7,2
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/293668/anac-agencia-nacional-de-aviacao-civil/desrespeito-ao-consumidor/,DESRESPEITO AO CONSUMIDOR,"FIZ RECLAMAÇÃO NA ANAC SOBRE EXTRAVIO DE BAGAGEM PELA ALITALIA .CONTUDO,NÃO CONSIGO ACESSAR MINHA RECLAMAÇÃO E SEU ANDAMENTO,POIS O 08007254445 ESTÁ DESATIVADO.E O PROCESSO PEDI UMA INFORMAÇÃO DE MARCA A QUAL NÃO TENHO?????????SERVIÇOS PÚBLICOS BRASILEIROS NOS TORNAM PIADAS MUNDIAIS.VERGONHOSO.",http://http://www.anac.gov.br/,8,3,4,5,2
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/307314/anac-agencia-nacional-de-aviacao-civil/lei-sobre-cobranca-de-bagagem/,LEI SOBRE COBRANÇA DE BAGAGEM,"Gostaria que fosse verificado sobre uma lei que esta tramitando para aprovação no sentido de cobrar todas as bagagens que não sejam de mão... vou deixar o link abaixo para que possam dar uma olhada.... resolvi fazer essa reclamação pois acho isso um absurdo, ja que os preços das passagens são para o padrão do consumidor brasileiro muito alto mesmo com as promoções, portanto acredito que se essa lei for aprovada  o consumidor ira perder ... mas as empresas também... estou deixando o link para que seja analisado e verificado... e espero que o reclame aqui possa ajudar igualmente como fizemos no periodo que quiseram cobrar de forma diferenciada a internet nas residências. 
Espero retorno. 
Obrigada
http://todosabordo.blogosfera.uol.com.br/2016/12/07/anac-deve-aprovar-na-semana-que-vem-fim-da-bagagem-gratis-em-voos/",http://http://www.anac.gov.br/,9,4,2,5,1
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/337162/anac-agencia-nacional-de-aviacao-civil/total-desrespeito-falta-completa-de-assistencia-e-descumprim/,"Total desrespeito, falta completa de assistência e descumprimento de regras da ANAC (dia das mães)","Comprei passagem para o dia 14/05/2017 (Dia das mães), companhia Avianca, voo FLN-BSB (Florianópolis - Brasília), saída 07:55, chegada 10:10 (voo direto).
Acontece que ao chegar no aeroporto às 6h20 (mais ou menos), a primeira informação que foi dada é que o voo estava atrasado e com previsão de partida às 09h00. Ou seja, já sabiam com antecedência que o voo iria atrasar mas a companhia não entrou em contato com os passageiros, para ao menos avisar e propor alguma solução. As informações dadas por funcionários da Avianca no aeroporto colocavam como causa o mau tempo no aeroporto de Chapecó, mas as informações meteorológicas do dia anterior já deixavam claro que o aeroporto estaria sem condições de decolagem na manhã do dia seguinte. Ou seja, a Avianca sabia que o voo não partiria em seu horário habitual desde a noite anterior.
Passado esse horário, procuramos informação sobre o voo e foi dada pelo funcionário da Avianca nova estimativa de partida às 10h00, depois tal estimativa foi para 10h30. Ao procurar informações depois desse horário, a estimativa foi que a partida seria às 11h30. Acabou que o avião partiu 13h00 aproximadamente. Um atraso de 5 horas, onde a empresa pouco se importou com o bem-estar do passageiro.
Quando o atraso tornou-se superior a 2 (duas) horas, solicitei ao funcionário da Avianca voucher para alimentação. O mesmo disse que não havia alimentação ou voucher disponível, desrespeitando as regras da ANAC, conforme está disponível em http://www2.anac.gov.br/publicacoes/arquivos/Dicas_ANAC_Atrasos_e_Cancelamentos_web.pdf:
A partir de 2 horas: alimentação (voucher, lanche, bebidas, etc).
Nada foi oferecido! Ou seja, a pessoa chega no aeroporto às seis e pouca da manhã e fica esperando a manhã inteira, sem informações condizentes e sem qualquer tipo de auxílio mínimo, mesmo o que deveria estar disponível por força de lei.
Destaca-se também que o aeroporto de Florianópolis é pequeno e desconfortável.
Acrescenta-se o fato de ser dia das mães, ganha-se um dia de muito cansaço e desprezo por parte da empresa.",http://http://www.anac.gov.br/,10,5,5,3,2
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/337498/anac-agencia-nacional-de-aviacao-civil/nao-consigo-falar-no-telefone/,NÃO CONSIGO FALAR NO TELEFONE.,"Estou com um problema com a empresa GOL e preciso de informações da ANAC. Não consigo contato com nenhum nesses telefones: 163 diz que não existe, o (61)3314 4155 da ouvidoria chama e fica mudo em espera e não atende e o 0800 está desativado. Comprei bilhetes de passagens cerca de quase 2 meses atrás e a GOL cancelou o meu horário de voo de retorno. Eles estão me oferecendo horários que não me atendem e disseram que se eu quiser, a empresa me reembolsa parcialmente. Resumindo, sobre a Resolução 400 quero dizer que não tenho interesse em reembolso, nem mesmo nos outros horários que me ofereceram, porque fogem dos meus compromissos já firmados. Preciso saber se tenho direito que a GOL me acomode em um horário bem próximo numa outra empresa aérea. Aguardo retorno.",http://http://www.anac.gov.br/,11,6,2,7,3
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/378913/anac-agencia-nacional-de-aviacao-civil/reembolso/,Reembolso,"Solicitei o reembolso na empresa aerea TAP em 22 de marco de 2018 e ate o momento nao recebi o reembolso. Diante disso fiz uma reclamacao na empresa TAP, sob o numero 2018 146943, e tambem infelizmente ate o momento nao me responderam. Por favor se puder me ajudar agradeco",http://http://www.anac.gov.br/,12,1,2,5,1
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/291232/anac-agencia-nacional-de-aviacao-civil/alteracao-de-voo-sem-previo-aviso/,Alteração de voô sem prévio aviso,"Comprei uma passagem pela companhia aérea GOL no dia 24/02/16 (localizador VLJY9K). O itinerário seria Confins - Porto Seguro, saindo 11:20 e chegando 13:12, voô direto no dia 06/05/16. A volta seria Porto Seguro - Confins, também direto, saindo 13:40 e chegando 15:10 no dia 08/05/16. Hoje, dia 05/05/16 entro no site da GOL para fazer o meu check-in e descubro que meus voôs foram completamente alterados sem nenhum aviso prévio, seja por email, seja por telefone. Agora o itinerário conta com 1 parada, tanto na ida quanto na volta, com horas a mais de viagem. Liguei para a GOL, e me ofereceram outros horários, mas ainda sim com paradas, nenhum direto. Chega a ser RIDÍCULO o descaso da companhia com o cliente. A mulher que me atendeu mencionou que me enviaram email para que eu confirmasse esta alteração, mas até o presente momento não recebi nenhum email. Até quando nós seremos lesados com serviços de PÉSSIMA qualidade e nada acontecerá com essas companhias?",http://http://www.anac.gov.br/,13,2,5,7,2
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/339532/anac-agencia-nacional-de-aviacao-civil/a-lenda-de-diminuicao-precos-das-passagens-com-a-retirada-ba/,A lenda de diminuição preços das passagens com a retirada bagagem gratuita,"Semana passada comprei passagem na promoção da GOL - R$ 128 (com bagagem). Hoje na promoção da gol para mesmo voo tarifa light R$ 158 (sem bagagem)...  kkkk... só tipico brasileiro mesmo para acreditar nessa historinha da ANAC de reduzir preços ao consumidor... Vivemos no Brasil, não havia dúvidas em relação ao verdadeiro resultado final.",http://http://www.anac.gov.br/,14,3,1,5,2
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/347517/anac-agencia-nacional-de-aviacao-civil/avioes-voando-baixo-e-fazendo-muito-barulho/,Aviões voando baixo e  fazendo muito barulho.,"A partir deste mês de setembro de 2017, durante todo tempo, avioes de pequeno porte começaram a fazer rota aérea na região do Bairro Saliado Filho  em Belo Horizonte/MG. O barulho é insuportável, uma vez que os  aviões são  pequenos e voam baixo, além dos vôos serem intermitentes.",http://http://www.anac.gov.br/,15,4,2,5,1
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/365358/anac-agencia-nacional-de-aviacao-civil/1-via-da-indentidade/,1ºVIA DA INDENTIDADE,"JÁ TEM MAIS DE UM MÊS QUE VENHO ENTRANDO NO SITE DA POLICIA CIVIL PARA AGENDAR A 1º DA IDENTIDADE DA MINHA FILHA E NÃO CONSIGO  AGENDAR PELO SISTEMA  QUE SO INFORMA QUE NAO TEM VAGA .
PEÇO UMA SOLUÇAÕ PARA ESSE PROBLEMA POR  FAVOR DESDE JA AGRADEÇO",http://http://www.anac.gov.br/,16,5,1,3,1
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/311620/anac-agencia-nacional-de-aviacao-civil/ciclo-vicioso-cia-aerea-te-empurra-para-policia-civil-polici/,"Ciclo vicioso: Cia Aérea te empurra para Polícia Civil, Polícia Civil para ANAC, ANAC para Cia aérea","
        Ao chegar em um voo no Aeroporto de Guarulhos e coletar a bagagem que havia despachado, notei que ela foi arrombada e que itens em seu interior foram furtados.
Depois de não ter sido atendida nem pela cia. aérea, nem pela Polícia Civil (era muito cedo, os escrivão disseram que estavam ocupados e se recusaram a registrar o BO!), também não consegui registrar uma reclamação na ANAC.
Os funcionários da agência simplesmente disseram que eu deveria insistir na PCSP e na cia aérea, ou entrar na justiça.
No voo em que eu estava outro passageiro também havia tido o mesmo problema. Esses casos de furtos em bagagem despachada, que ocorrem no interior dos aeroportos, nunca serão solucionados enquanto a polícia, a ANAC e a cia aérea continuarem se recusando a, pelo menos, registrar uma reclamação.",http://http://www.anac.gov.br/,17,6,3,7,2
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/332207/anac-agencia-nacional-de-aviacao-civil/uma-autarquia-que-nao-serve-pra-nada-cabide-de-empregos-demi/,Uma autarquia que NÃO serve pra nada! Cabide de empregos! Demitam todos!,"Mais de 200 reclamações e NENHUMA é atendida. Isso é o escárnio que essa MER-DA de autarquia tem com seus cidadãos. Tomara que um novo presidente EXTINGUA essa porcaria e DEMITA todos os seus funcionários.
VOCÊ, FUNCIONÁRIO DA ANAC, VOCÊ É FUNCIONÁRIO DE UMA MER-DA DE AUTARQUIA, QUE SUBTRAÍ O DINHEIRO DO POVO, E NÃO SERVE PRA NADA!!!!
Nem perca seu tempo. Isso aqui não serve pra nada.
Até hoje essa PORCARIA de autarquia sequer criou regras específicas para cancelamento ou limitou, de maneira EXPRESSIVA E CLARA os limites de multas por cancelamento de passagem.
OU SEJA: NÃO SERVEM PRA NADA! NADA! NADA! Nem pra responder uma simples mensagem essa MER-DA de autarquia serve.",http://http://www.anac.gov.br/,18,1,5,5,0
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/367162/anac-agencia-nacional-de-aviacao-civil/as-viagens-de-aviao-estao-piores-que-viajar-de-combi/,As viagens de aviao estão piores que viajar de combi,"
        Com essa nova lei de todos serem OBRIGADOS a levarem suas malas em cima, porque não houve redução de passagem e precisa-se pagar pra despachar malas está péssimo o embarque  desembarque, é muito tumulto é muita confusão, antes mesmo dessa lei já havia pouco espaço para bagagem de mão agora a zona está garantida, vocês da Anac não zelam por nada a respeito do consumidor, só brasileiro mesmo pra aceitar isso calado",http://http://www.anac.gov.br/,19,2,3,7,3
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/341683/anac-agencia-nacional-de-aviacao-civil/evitando-confusoes-com-horarios/,Evitando confusões com horários,"Bom dia,
Ontem a minha esposa perdeu um vôo doméstico devido a uma confusão com o  horário pois o vôo estava marcado para 0:00h do dia 17, ou seja, primeira hora do dia, no entanto, ela imaginou que seria a meia noite do dia 17 (final do dia), o que gerou a perda do seu vôo. Embora reconheça que este foi um erro e uma falta de atenção do passageiro, acredito que outras pessoas cometem o mesmo equívoco e as empresas lucram com isto pois foi preciso comprar uma nova passagem (no caso em questão a empresa foi a AZUL); portanto, como uma sugestão de melhoria no processo e que com certeza evitará novas situações desagradáveis e prejuízos aos passageiros, a ANAC ou órgão competente, deveria orientar ou obrigar as empresas a colocar o vôo com o horário  às 23:59h do dia anterior e não 0:00h do dia seguinte. Este é um pequeno detalhe, imagino que não altera em nada a rotina do aeroporto e das empresas aéreas, mas evitará uma serie de desgastes e fará uma enorme diferença na vida dos passageiros.
Espero com esta pequena sugestão ajudar a melhorar os serviços;
Desde já agradeço
Mateus",http://http://www.anac.gov.br/,20,3,1,5,1
anac-agencia-nacional-de-aviacao-civil,https://cidadao.reclameaqui.com.br/375501/anac-agencia-nacional-de-aviacao-civil/cancelamento-de-voo/,Cancelamento de voo,"Comprei um pacote na Decolar.com.
Infelizmente precisamos cancelar, o que seria feito pelo código do consumidor, artigo 49.
Fui informada pela atendente da Decolar que a Avianca não segue esse artigo do Código.
Não entendo como qualquer empresa possa desrespeitar uma lei com a aprovação da Anac.
Vocês podem me explicar esse absurdo?
Solange Teixeira
(61)99241-7958",http://http://www.anac.gov.br/,21,4,3,5,3
